year,obs.hours,species,spcode,behavior,diet,habitat,tolerance,DDT,size,count
1946,594,AMKE,1,partial,insect,open,tolerant,susceptible,small,99
1947,592,AMKE,1,partial,insect,open,tolerant,susceptible,small,116
1948,577,AMKE,1,partial,insect,open,tolerant,susceptible,small,145
1949,640,AMKE,1,partial,insect,open,tolerant,susceptible,small,339
1950,625,AMKE,1,partial,insect,open,tolerant,susceptible,small,234
1951,561,AMKE,1,partial,insect,open,tolerant,susceptible,small,247
1952,636,AMKE,1,partial,insect,open,tolerant,susceptible,small,219
1953,651,AMKE,1,partial,insect,open,tolerant,susceptible,small,220
1954,630,AMKE,1,partial,insect,open,tolerant,susceptible,small,174
1955,630,AMKE,1,partial,insect,open,tolerant,susceptible,small,264
1956,586,AMKE,1,partial,insect,open,tolerant,susceptible,small,204
1957,601,AMKE,1,partial,insect,open,tolerant,susceptible,small,174
1958,654,AMKE,1,partial,insect,open,tolerant,susceptible,small,217
1959,623,AMKE,1,partial,insect,open,tolerant,susceptible,small,281
1960,635,AMKE,1,partial,insect,open,tolerant,susceptible,small,221
1961,673,AMKE,1,partial,insect,open,tolerant,susceptible,small,464
1962,650,AMKE,1,partial,insect,open,tolerant,susceptible,small,456
1963,718,AMKE,1,partial,insect,open,tolerant,susceptible,small,260
1964,711,AMKE,1,partial,insect,open,tolerant,susceptible,small,235
1965,688,AMKE,1,partial,insect,open,tolerant,susceptible,small,391
1966,575,AMKE,1,partial,insect,open,tolerant,susceptible,small,539
1967,552,AMKE,1,partial,insect,open,tolerant,susceptible,small,554
1968,511,AMKE,1,partial,insect,open,tolerant,susceptible,small,592
1969,817,AMKE,1,partial,insect,open,tolerant,susceptible,small,537
1970,459,AMKE,1,partial,insect,open,tolerant,susceptible,small,409
1971,320,AMKE,1,partial,insect,open,tolerant,susceptible,small,365
1972,437,AMKE,1,partial,insect,open,tolerant,susceptible,small,393
1973,518,AMKE,1,partial,insect,open,tolerant,susceptible,small,479
1974,531,AMKE,1,partial,insect,open,tolerant,susceptible,small,434
1975,490,AMKE,1,partial,insect,open,tolerant,susceptible,small,487
1976,557,AMKE,1,partial,insect,open,tolerant,susceptible,small,413
1977,541,AMKE,1,partial,insect,open,tolerant,susceptible,small,705
1978,664,AMKE,1,partial,insect,open,tolerant,susceptible,small,370
1979,752,AMKE,1,partial,insect,open,tolerant,susceptible,small,544
1980,878,AMKE,1,partial,insect,open,tolerant,susceptible,small,529
