year,obs.hours,species,spcode,count,habitat types,diet index,mass kg,northern latitude,generation time,popest,diet spec,human tolerance,migration,habitat spec,DDT susc,forest dependence,mass g
1946,594,AMKE,1,99,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1946,594,BAEA,2,39,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1946,594,BWHA,4,2886,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1946,594,COHA,5,214,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1946,594,GOEA,6,68,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1946,594,MERL,7,20,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1946,594,NOGO,8,32,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1946,594,NOHA,9,169,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1946,594,OSPR,10,188,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1946,594,PEFA,11,26,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1946,594,RLHA,12,0,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1946,594,RSHA,13,236,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1946,594,RTHA,14,2306,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1946,594,SSHA,15,2382,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1947,592,AMKE,1,116,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1947,592,BAEA,2,89,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1947,592,BWHA,4,6664,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1947,592,COHA,5,128,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1947,592,GOEA,6,33,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1947,592,MERL,7,10,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1947,592,NOGO,8,5,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1947,592,NOHA,9,176,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1947,592,OSPR,10,215,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1947,592,PEFA,11,18,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1947,592,RLHA,12,0,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1947,592,RSHA,13,238,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1947,592,RTHA,14,1680,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1947,592,SSHA,15,1726,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1948,577,AMKE,1,145,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1948,577,BAEA,2,79,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1948,577,BWHA,4,15026,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1948,577,COHA,5,203,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1948,577,GOEA,6,41,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1948,577,MERL,7,19,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1948,577,NOGO,8,14,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1948,577,NOHA,9,185,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1948,577,OSPR,10,174,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1948,577,PEFA,11,33,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1948,577,RLHA,12,9,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1948,577,RSHA,13,262,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1948,577,RTHA,14,2343,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1948,577,SSHA,15,1650,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1949,640,AMKE,1,339,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1949,640,BAEA,2,84,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1949,640,BWHA,4,9579,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1949,640,COHA,5,174,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1949,640,GOEA,6,47,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1949,640,MERL,7,24,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1949,640,NOGO,8,7,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1949,640,NOHA,9,209,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1949,640,OSPR,10,209,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1949,640,PEFA,11,35,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1949,640,RLHA,12,16,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1949,640,RSHA,13,284,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1949,640,RTHA,14,2749,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1949,640,SSHA,15,2963,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1950,625,AMKE,1,234,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1950,625,BAEA,2,116,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1950,625,BWHA,4,5305,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1950,625,COHA,5,271,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1950,625,GOEA,6,65,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1950,625,MERL,7,44,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1950,625,NOGO,8,6,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
