variable,before,after
American Kestrel,1.912946957,-1.119233692
American Kestrel,2.554861832,-0.967459176
American Kestrel,2.257484337,-0.873682712
American Kestrel,2.445506523,-0.748137519
American Kestrel,2.123434625,-0.933007809
American Kestrel,2.055009825,-0.95038111
American Kestrel,2.146643439,-1.248838043
American Kestrel,1.983267066,-0.956790628
American Kestrel,2.216678617,-1.016588142
American Kestrel,1.771291508,-1.268514919
American Kestrel,2.421206784,-1.083543522
American Kestrel,2.086979559,-0.879730628
American Kestrel,2.012532608,-1.073606793
American Kestrel,1.940110175,-1.29066864
American Kestrel,2.189759732,-1.165848168
American Kestrel,1.611116366,-0.865010656
American Kestrel,1.539253402,-0.920083616
American Kestrel,2.295743936,-0.911961401
American Kestrel,3.269464863,-0.778861894
American Kestrel,2.659601628,-1.037116744
American Kestrel,1.740564459,-0.949889669
American Kestrel,2.252835226,-1.09783777
American Kestrel,1.95765947,-0.932881175
American Kestrel,2.233240859,-0.854664638
American Kestrel,1.985123449,-1.200971199
American Kestrel,2.790170889,-1.041499349
American Kestrel,2.019026852,-0.894681788
American Kestrel,1.706339085,-1.023851157
American Kestrel,2.339671579,-1.154254237
American Kestrel,2.113399257,-1.217136438
American Kestrel,1.798772839,-1.733180694
American Kestrel,2.245180005,-1.27482013
American Kestrel,2.2249936,-1.286438003
American Kestrel,1.820662857,-1.314852853
American Kestrel,1.607340184,-1.016067814
American Kestrel,2.040627116,-1.283335888
American Kestrel,1.926656218,-0.888790905
American Kestrel,1.924003732,-0.984000003
American Kestrel,1.764067591,-0.718953314
American Kestrel,2.076537109,-1.116090618
American Kestrel,1.989581124,-1.099876579
American Kestrel,1.590684263,-0.801278872
American Kestrel,2.331876036,-0.806956611
American Kestrel,2.06205817,-1.077891753
American Kestrel,1.750922837,-1.30298062
American Kestrel,2.148156689,-1.221858205
American Kestrel,2.343518879,-0.934766641
American Kestrel,1.341167402,-1.097144803
American Kestrel,2.179868045,-1.090959339
American Kestrel,1.92679659,-0.821369036
American Kestrel,2.683788728,-1.011411648
American Kestrel,1.866638833,-1.011672036
American Kestrel,2.271723486,-0.887942019
American Kestrel,2.522176686,-1.075796359
American Kestrel,2.155437968,-0.991433408
American Kestrel,1.749347438,-0.968984549
American Kestrel,2.448322221,-1.032910702
American Kestrel,2.039461952,-0.95523204
American Kestrel,1.819332916,-0.689344491
American Kestrel,1.754739585,-1.001974112
American Kestrel,1.823135104,-1.182459728
American Kestrel,1.848840141,-1.016931779
American Kestrel,2.057136476,-1.148645329
American Kestrel,2.171681767,-1.031129765
American Kestrel,2.325261228,-1.072493563
American Kestrel,2.589580409,-0.864533166
American Kestrel,2.404137208,-0.923964586
American Kestrel,2.044417439,-0.797819017
American Kestrel,2.112858971,-1.203374309
American Kestrel,2.304033696,-0.81520467
American Kestrel,2.27544163,-1.11131142
American Kestrel,2.27383708,-1.092961576
American Kestrel,2.300393026,-1.371955703
American Kestrel,1.49533869,-0.753950857
American Kestrel,2.593215646,-0.673645485
American Kestrel,2.079042176,-0.800280539
American Kestrel,2.404254812,-1.270574915
American Kestrel,2.566590717,-1.264492533
American Kestrel,2.345075963,-1.00924401
American Kestrel,1.711861178,-0.892832572
American Kestrel,2.268686658,-1.23892081
American Kestrel,2.16765621,-0.982221094
American Kestrel,1.985337152,-1.186024298
American Kestrel,1.711107916,-0.841671683
American Kestrel,3.013663574,-1.376149346
American Kestrel,2.240653408,-1.153544089
American Kestrel,2.004145312,-1.120326353
American Kestrel,2.560705212,-0.689341546
American Kestrel,2.685967585,-1.25484318
American Kestrel,2.538864868,-1.331687193
American Kestrel,1.995138677,-1.105803886
American Kestrel,1.325292569,-1.384273087
American Kestrel,2.455731489,-0.834423174
American Kestrel,1.589941572,-0.816852588
American Kestrel,2.705336827,-0.952355254
American Kestrel,2.067233349,-0.878303593
American Kestrel,2.228759976,-0.85663398
American Kestrel,2.255033587,-1.344847732
American Kestrel,2.366940165,-0.77590626
American Kestrel,2.03343863,-1.252833147
American Kestrel,2.216399308,-1.102250243
American Kestrel,1.258358987,-1.274465183
American Kestrel,2.287435177,-0.779814144
American Kestrel,1.202783888,-0.989101367
American Kestrel,2.24514409,-1.33165322
American Kestrel,2.833986235,-1.048212174
American Kestrel,2.112617209,-1.085726493
American Kestrel,1.35996908,-0.902187069
American Kestrel,1.317380204,-0.854723799
American Kestrel,2.104404101,-1.032529718
American Kestrel,1.891821414,-0.811413178
American Kestrel,2.072426913,-1.043267026
American Kestrel,2.256884379,-0.954924057
American Kestrel,2.64557965,-1.350666093
American Kestrel,1.955960117,-1.134163212
American Kestrel,2.195181234,-1.331303665
American Kestrel,2.053265972,-1.151655829
American Kestrel,1.877332523,-1.360470524
American Kestrel,1.146082639,-0.974219639
American Kestrel,1.832013303,-0.906077569
American Kestrel,1.269814126,-0.908888498
American Kestrel,2.302676944,-1.011284631
American Kestrel,2.317634693,-0.98349505
American Kestrel,3.264493957,-0.914484627
American Kestrel,1.559492678,-0.944691626
American Kestrel,1.583078745,-0.58421389
American Kestrel,2.172645501,-1.287738816
American Kestrel,1.241904539,-0.846244089
American Kestrel,1.872823342,-1.534281005
American Kestrel,1.792230447,-1.300556941
American Kestrel,1.677524126,-1.147836327
American Kestrel,2.074651713,-0.867100092
American Kestrel,1.987264771,-0.990006788
American Kestrel,2.184086922,-0.666058983
American Kestrel,2.746218369,-1.056474039
American Kestrel,1.643728684,-0.968230785
American Kestrel,1.808908821,-1.327583562
American Kestrel,1.593723348,-1.112462769
American Kestrel,2.785258441,-0.834709218
American Kestrel,2.268927785,-0.940937233
American Kestrel,1.608706608,-0.943146752
American Kestrel,2.559286589,-1.039988078
American Kestrel,2.082123582,-1.414714038
American Kestrel,1.826439734,-0.978493899
American Kestrel,1.846670983,-1.141251527
American Kestrel,2.539185385,-1.152961123
American Kestrel,1.405909873,-0.820057279
American Kestrel,1.950817261,-0.980248153
American Kestrel,1.721614856,-0.745193242
American Kestrel,1.771184424,-1.55767602
American Kestrel,1.75713139,-1.138757869
American Kestrel,2.031462261,-1.086396985
American Kestrel,2.948570939,-0.918050834
American Kestrel,1.523621772,-1.043675065
American Kestrel,1.741940291,-0.859065579
American Kestrel,1.77264984,-1.398560378
American Kestrel,0.826172743,-0.68347138
American Kestrel,1.320022184,-0.797954321
American Kestrel,1.640199723,-0.960175669
American Kestrel,1.811539161,-0.957113467
American Kestrel,2.470857944,-1.389456262
American Kestrel,1.979858727,-0.9736676
American Kestrel,2.382634215,-1.240433451
American Kestrel,2.099892919,-1.0727046
American Kestrel,1.924048138,-0.872701253
American Kestrel,2.277394633,-1.159116195
American Kestrel,1.318159025,-1.138388993
American Kestrel,1.702024083,-1.19132448
American Kestrel,1.730269062,-0.768363683
American Kestrel,2.194990344,-1.257877196
American Kestrel,2.475664339,-0.590758672
American Kestrel,2.374689792,-1.006266856
American Kestrel,1.788320861,-0.870081744
American Kestrel,1.380235967,-1.267376135
American Kestrel,2.090672452,-0.89674522
American Kestrel,2.248618223,-1.096769862
American Kestrel,2.39931819,-1.11802875
American Kestrel,3.004622232,-0.58312445
American Kestrel,2.625308261,-0.657393693
American Kestrel,1.902368413,-1.149962869
American Kestrel,1.743238028,-1.091819392
American Kestrel,2.235082001,-1.47794975
American Kestrel,2.088428506,-1.130063659
American Kestrel,3.316960427,-1.103185628
American Kestrel,2.392132907,-1.102904795
American Kestrel,1.59628165,-1.284920307
American Kestrel,1.595921742,-1.042675324
American Kestrel,2.070848121,-1.02173998
American Kestrel,1.881069638,-1.111997764
American Kestrel,2.059342797,-1.146170669
American Kestrel,2.052925365,-0.942039534
American Kestrel,1.880609004,-1.04415153
American Kestrel,1.999596067,-1.144740184
American Kestrel,1.988439739,-0.947317372
American Kestrel,1.272473635,-1.1057665
American Kestrel,3.136534319,-1.011181355
American Kestrel,2.147550919,-0.913808367
American Kestrel,2.294226429,-1.040337255
American Kestrel,2.076841967,-0.97432788
American Kestrel,1.73869374,-1.211121204
American Kestrel,2.157994263,-1.210599121
American Kestrel,1.87015151,-1.124308463
American Kestrel,2.206535492,-1.31023134
American Kestrel,2.066021952,-1.132436353
American Kestrel,1.958666472,-0.766798351
American Kestrel,1.514527124,-1.380476414
American Kestrel,1.5366942,-0.661092474
American Kestrel,2.058640407,-1.285754766
American Kestrel,1.843762564,-1.420979853
American Kestrel,1.589589107,-1.05429372
American Kestrel,2.071748553,-1.120195023
American Kestrel,1.415740985,-1.438161355
American Kestrel,1.610117905,-1.353621708
American Kestrel,2.073951091,-0.819793837
American Kestrel,2.180804717,-1.043586603
American Kestrel,2.366411215,-1.144351632
American Kestrel,1.564603426,-1.17854436
American Kestrel,2.435205898,-0.891893997
American Kestrel,1.858182779,-1.011319508
American Kestrel,1.798296283,-1.207589032
American Kestrel,2.543528884,-1.063070344
American Kestrel,2.766782945,-1.456112986
American Kestrel,1.962700129,-0.77765648
American Kestrel,1.905347132,-1.125574622
American Kestrel,2.456672851,-1.279910804
American Kestrel,2.656337937,-1.223241775
American Kestrel,1.764964922,-1.115335271
American Kestrel,2.266406889,-1.000660532
American Kestrel,2.031889644,-0.92155012
American Kestrel,1.436727648,-1.633286688
American Kestrel,2.329696877,-1.159867129
American Kestrel,2.979249932,-1.307170331
American Kestrel,2.85431325,-1.358330583
American Kestrel,2.276459544,-0.995649454
American Kestrel,1.623885674,-1.042547032
American Kestrel,2.690982549,-0.920894349
American Kestrel,1.872177512,-0.732217956
American Kestrel,1.847939485,-0.700311463
American Kestrel,1.762984486,-0.991828773
American Kestrel,1.668179408,-0.800649309
American Kestrel,1.982985941,-0.880628436
